,Iteration,Success_flag,Time
0,1.0,1.0,2017-12-08 11:16:16
1,2.0,0.0,2017-12-08 11:20:23
2,3.0,1.0,2017-12-08 11:20:26
3,4.0,1.0,2017-12-08 11:35:06
4,5.0,1.0,2017-12-08 11:47:36
5,6.0,1.0,2017-12-08 12:00:04
6,7.0,1.0,2017-12-08 12:18:08
7,8.0,0.0,2017-12-08 12:33:24
8,9.0,1.0,2017-12-08 12:33:26
9,10.0,1.0,2017-12-08 12:46:41
10,11.0,1.0,2017-12-08 13:02:07
11,12.0,1.0,2017-12-08 13:16:17
12,13.0,1.0,2017-12-08 13:32:01
13,14.0,1.0,2017-12-08 13:44:52
14,15.0,1.0,2017-12-08 14:02:09
15,16.0,1.0,2017-12-08 14:16:01
16,17.0,1.0,2017-12-08 14:47:33
17,18.0,1.0,2017-12-08 14:58:56
18,19.0,1.0,2017-12-08 15:02:09
19,20.0,1.0,2017-12-08 15:28:59
20,21.0,0.0,2017-12-08 15:33:02
21,22.0,1.0,2017-12-08 15:46:49
22,23.0,1.0,2017-12-08 15:59:24
23,24.0,1.0,2017-12-08 16:18:54
24,25.0,1.0,2017-12-08 16:33:00
25,26.0,1.0,2017-12-08 16:41:15
26,27.0,0.0,2017-12-08 16:43:27
27,28.0,1.0,2017-12-08 16:43:29
28,29.0,1.0,2017-12-08 16:45:50
29,30.0,1.0,2017-12-08 16:47:56
30,31.0,0.0,2017-12-08 16:50:48
31,32.0,1.0,2017-12-08 16:54:38
32,33.0,1.0,2017-12-08 17:01:20
33,34.0,1.0,2017-12-08 17:06:57
34,35.0,1.0,2017-12-08 17:09:29
35,36.0,0.0,2017-12-08 17:12:51
36,37.0,1.0,2017-12-08 17:15:13
37,38.0,0.0,2017-12-08 17:17:33
38,39.0,1.0,2017-12-08 17:24:05
39,40.0,1.0,2017-12-08 17:27:23
40,41.0,1.0,2017-12-08 17:29:55
41,42.0,1.0,2017-12-08 17:35:04
42,43.0,1.0,2017-12-08 17:38:32
43,44.0,1.0,2017-12-08 17:42:37
44,45.0,1.0,2017-12-08 17:53:09
45,46.0,1.0,2017-12-08 17:55:31
46,47.0,1.0,2017-12-08 17:57:56
47,48.0,1.0,2017-12-08 18:02:43
48,49.0,1.0,2017-12-08 18:04:46
49,50.0,1.0,2017-12-08 18:07:01
50,51.0,1.0,2017-12-08 18:10:42
51,52.0,1.0,2017-12-08 18:15:34
52,53.0,1.0,2017-12-08 18:18:33
53,54.0,1.0,2017-12-08 18:21:53
54,55.0,1.0,2017-12-08 18:24:12
55,56.0,1.0,2017-12-08 18:27:28
56,57.0,1.0,2017-12-08 18:29:32
57,58.0,1.0,2017-12-08 18:33:03
58,59.0,1.0,2017-12-08 18:38:14
59,60.0,1.0,2017-12-08 18:43:48
60,61.0,0.0,2017-12-08 18:46:47
61,62.0,1.0,2017-12-08 18:49:34
62,63.0,1.0,2017-12-08 18:53:04
63,64.0,1.0,2017-12-08 18:55:05
64,65.0,1.0,2017-12-08 19:01:18
65,66.0,1.0,2017-12-08 19:04:14
66,67.0,1.0,2017-12-08 19:10:11
67,68.0,1.0,2017-12-08 19:27:34
68,69.0,0.0,2017-12-08 19:31:54
69,70.0,1.0,2017-12-08 19:37:18
70,71.0,1.0,2017-12-08 19:41:35
71,72.0,1.0,2017-12-08 19:45:20
72,73.0,1.0,2017-12-08 19:47:31
73,74.0,1.0,2017-12-08 19:50:36
74,75.0,1.0,2017-12-08 19:58:33
75,76.0,1.0,2017-12-08 20:00:38
76,77.0,1.0,2017-12-08 20:04:59
77,78.0,1.0,2017-12-08 20:11:32
78,79.0,1.0,2017-12-08 20:16:48
79,80.0,0.0,2017-12-08 20:31:05
80,81.0,0.0,2017-12-08 20:31:07
81,82.0,1.0,2017-12-08 20:37:15
82,83.0,1.0,2017-12-08 20:39:34
83,84.0,1.0,2017-12-08 20:47:16
84,85.0,1.0,2017-12-08 21:02:44
85,86.0,1.0,2017-12-08 21:08:29
86,87.0,1.0,2017-12-08 21:10:27
87,88.0,1.0,2017-12-08 21:17:10
88,89.0,1.0,2017-12-08 21:26:57
89,90.0,1.0,2017-12-08 21:37:47
90,91.0,1.0,2017-12-08 22:03:24
91,92.0,1.0,2017-12-08 22:15:12
92,93.0,0.0,2017-12-08 22:34:20
93,94.0,1.0,2017-12-08 22:46:15
94,95.0,1.0,2017-12-08 23:01:00
95,96.0,1.0,2017-12-08 23:15:04
96,97.0,1.0,2017-12-08 23:37:29
97,98.0,1.0,2017-12-09 00:11:10
98,99.0,1.0,2017-12-09 00:45:52
99,100.0,1.0,2017-12-09 01:21:54
100,101.0,1.0,2017-12-09 02:00:09
101,102.0,1.0,2017-12-09 02:36:32
102,103.0,1.0,2017-12-09 03:11:18
103,104.0,1.0,2017-12-09 03:44:54
104,105.0,1.0,2017-12-09 04:17:59
105,106.0,1.0,2017-12-09 04:51:17
106,107.0,1.0,2017-12-09 05:26:59
107,108.0,1.0,2017-12-09 06:01:39
108,109.0,1.0,2017-12-09 06:37:29
109,110.0,1.0,2017-12-09 07:11:17
110,111.0,1.0,2017-12-09 07:44:27
111,112.0,1.0,2017-12-09 08:15:22
112,113.0,1.0,2017-12-09 08:30:14
113,114.0,1.0,2017-12-09 08:54:29
114,115.0,1.0,2017-12-09 09:12:44
115,116.0,1.0,2017-12-09 09:32:18
116,117.0,1.0,2017-12-09 09:50:23
117,118.0,1.0,2017-12-09 10:11:19
118,119.0,1.0,2017-12-09 10:30:30
119,120.0,1.0,2017-12-09 10:51:28
120,121.0,1.0,2017-12-09 11:11:16
121,122.0,1.0,2017-12-09 11:33:04
122,123.0,1.0,2017-12-09 11:52:15
123,124.0,1.0,2017-12-09 12:12:15
124,125.0,1.0,2017-12-09 12:33:42
125,126.0,1.0,2017-12-09 12:52:15
126,127.0,1.0,2017-12-09 12:54:14
127,128.0,1.0,2017-12-09 13:12:13
128,129.0,1.0,2017-12-09 13:32:38
129,130.0,0.0,2017-12-09 13:52:32
130,131.0,1.0,2017-12-09 14:01:41
131,132.0,1.0,2017-12-09 14:11:56
132,133.0,1.0,2017-12-09 14:31:58
133,134.0,1.0,2017-12-09 14:52:57
134,135.0,0.0,2017-12-09 15:18:00
135,136.0,1.0,2017-12-09 15:18:03
136,137.0,1.0,2017-12-09 15:23:13
137,138.0,1.0,2017-12-09 15:32:00
138,139.0,1.0,2017-12-09 15:52:30
139,140.0,1.0,2017-12-09 16:13:13
140,141.0,1.0,2017-12-09 16:32:22
141,142.0,1.0,2017-12-09 16:54:00
142,143.0,0.0,2017-12-09 16:56:11
143,144.0,0.0,2017-12-09 17:11:39
144,145.0,1.0,2017-12-09 17:11:41
145,146.0,1.0,2017-12-09 17:33:22
146,147.0,1.0,2017-12-09 17:51:58
147,148.0,1.0,2017-12-09 18:13:10
148,149.0,1.0,2017-12-09 18:32:21
149,150.0,1.0,2017-12-09 18:50:44
150,151.0,1.0,2017-12-09 19:10:25
151,152.0,1.0,2017-12-09 19:32:10
152,153.0,1.0,2017-12-09 19:51:01
153,154.0,1.0,2017-12-09 20:10:48
154,155.0,1.0,2017-12-09 20:30:10
155,156.0,1.0,2017-12-09 20:49:56
156,157.0,1.0,2017-12-09 21:14:52
157,158.0,1.0,2017-12-09 21:28:54
158,159.0,1.0,2017-12-09 21:53:15
159,160.0,1.0,2017-12-09 22:15:03
160,161.0,1.0,2017-12-09 22:32:44
161,162.0,1.0,2017-12-09 22:51:37
162,163.0,1.0,2017-12-09 23:08:49
163,164.0,1.0,2017-12-09 23:31:45
164,165.0,1.0,2017-12-09 23:52:53
165,166.0,1.0,2017-12-10 00:16:19
166,167.0,1.0,2017-12-10 00:50:39
167,168.0,0.0,2017-12-10 01:21:43
168,169.0,1.0,2017-12-10 01:21:46
169,170.0,1.0,2017-12-10 01:54:18
170,171.0,1.0,2017-12-10 02:34:08
171,172.0,1.0,2017-12-10 03:04:24
172,173.0,1.0,2017-12-10 03:43:15
173,174.0,1.0,2017-12-10 04:18:16
174,175.0,1.0,2017-12-10 04:51:55
175,176.0,1.0,2017-12-10 05:26:32
176,177.0,1.0,2017-12-10 06:00:57
177,178.0,1.0,2017-12-10 06:35:44
178,179.0,1.0,2017-12-10 07:11:18
179,180.0,1.0,2017-12-10 07:46:34
180,181.0,1.0,2017-12-10 08:20:21
181,182.0,1.0,2017-12-10 08:57:26
182,183.0,1.0,2017-12-10 09:30:52
183,184.0,1.0,2017-12-10 10:05:04
184,185.0,0.0,2017-12-10 10:41:55
185,186.0,1.0,2017-12-10 10:41:58
186,187.0,1.0,2017-12-10 11:10:13
187,188.0,1.0,2017-12-10 11:32:30
188,189.0,1.0,2017-12-10 11:52:17
189,190.0,1.0,2017-12-10 12:10:25
190,191.0,1.0,2017-12-10 12:32:02
191,192.0,1.0,2017-12-10 12:50:27
192,193.0,1.0,2017-12-10 13:10:44
193,194.0,1.0,2017-12-10 13:29:42
194,195.0,1.0,2017-12-10 13:52:57
195,196.0,1.0,2017-12-10 14:10:19
196,197.0,1.0,2017-12-10 14:31:06
197,198.0,1.0,2017-12-10 14:50:47
198,199.0,1.0,2017-12-10 15:09:52
199,200.0,1.0,2017-12-10 15:30:56
200,201.0,1.0,2017-12-10 15:54:20
201,202.0,0.0,2017-12-10 16:10:53
202,203.0,1.0,2017-12-10 16:10:56
203,204.0,1.0,2017-12-10 16:30:05
204,205.0,1.0,2017-12-10 16:50:22
205,206.0,1.0,2017-12-10 17:11:38
206,207.0,1.0,2017-12-10 17:29:50
207,208.0,1.0,2017-12-10 17:51:49
208,209.0,1.0,2017-12-10 18:04:24
209,210.0,1.0,2017-12-10 18:10:57
210,211.0,1.0,2017-12-10 18:31:56
211,212.0,1.0,2017-12-10 18:47:22
212,213.0,1.0,2017-12-10 18:51:11
213,214.0,1.0,2017-12-10 19:09:29
214,215.0,1.0,2017-12-10 19:35:19
215,216.0,1.0,2017-12-10 19:50:04
216,217.0,1.0,2017-12-10 20:11:09
217,218.0,1.0,2017-12-10 20:33:40
218,219.0,1.0,2017-12-10 20:50:02
219,220.0,1.0,2017-12-10 21:09:58
220,221.0,1.0,2017-12-10 21:31:21
221,222.0,1.0,2017-12-10 21:49:50
222,223.0,1.0,2017-12-10 22:10:10
223,224.0,1.0,2017-12-10 22:30:18
224,225.0,1.0,2017-12-10 23:00:41
225,226.0,1.0,2017-12-10 23:34:47
226,227.0,0.0,2017-12-11 00:11:24
227,228.0,1.0,2017-12-11 00:11:26
228,229.0,1.0,2017-12-11 00:47:26
229,230.0,1.0,2017-12-11 01:25:12
230,231.0,1.0,2017-12-11 01:56:13
231,232.0,0.0,2017-12-11 02:31:03
232,233.0,0.0,2017-12-11 03:06:16
233,234.0,1.0,2017-12-11 03:06:18
234,235.0,1.0,2017-12-11 03:40:44
235,236.0,1.0,2017-12-11 04:16:03
236,237.0,1.0,2017-12-11 04:51:55
237,238.0,1.0,2017-12-11 05:26:27
238,239.0,1.0,2017-12-11 06:01:30
239,240.0,1.0,2017-12-11 06:15:17
240,241.0,1.0,2017-12-11 06:28:38
241,242.0,1.0,2017-12-11 06:40:59
242,243.0,1.0,2017-12-11 06:45:06
243,244.0,1.0,2017-12-11 06:48:13
244,245.0,1.0,2017-12-11 06:59:03
245,246.0,1.0,2017-12-11 07:10:11
246,247.0,1.0,2017-12-11 07:16:08
247,248.0,1.0,2017-12-11 07:18:10
248,249.0,1.0,2017-12-11 07:20:25
249,250.0,1.0,2017-12-11 11:17:18
